population	color	DB	DR	LB	LR
309	1	0	1	0	0
309	1	0	13	0	0
309	1	0	11	0	0
309	1	0	1	0	0
309	1	0	10	0	0
309	1	1	1	0	0
309	1	0	3	0	0
309	1	0	11	0	0
309	1	0	3	0	0
309	1	0	2	0	0
309	1	0	2	0	0
309	1	1	5	0	0
309	1	0	6	0	1
309	1	0	1	0	0
309	1	0	4	0	0
309	1	0	1	0	0
309	1	0	2	0	0
309	1	0	7	0	0
309	1	3	9	0	0
310	3	0	3	3	7
310	3	1	0	1	8
310	2	6	1	13	0
310	2	3	0	8	3
310	2	6	0	24	0
310	2	0	0	7	2
310	2	0	0	4	2
310	0	6	2	4	2
310	1	0	3	4	4
310	2	2	0	3	5
310	0	4	2	11	2
310	2	0	0	10	0
310	2	2	0	7	7
310	1	0	1	1	6
310	1	2	1	1	3
310	3	0	0	0	5
310	0	2	0	1	1
310	2	1	0	4	5
310	3	1	1	2	3
310	0	2	2	6	2
311	2	0	0	8	0
311	2	0	0	2	0
312	2	0	0	1	0
312	3	0	0	7	0
312	2	0	0	4	0
312	2	0	0	2	0
312	2	1	0	0	0
312	2	1	0	1	0
312	2	0	0	2	0
312	0	1	0	1	0
312	0	5	1	1	3
312	0	1	0	1	0
312	0	0	0	2	0
312	2	3	0	0	0
312	0	8	0	6	0
312	2	2	0	1	0
312	2	1	0	7	0
